CustomerID,CardNumber,Type,Limit
CID-384362,4592-1952-8478-2748,Shoppers,1.00E+05
CID-117303,9441-4013-5214-3051,Shoppers,50000
CID-452616,8791-1774-5503-6058,Platinum,50000
CID-18594,7839-2376-9187-9950,Travellers,5.00E+05
CID-44275,2330-5029-8219-2560,Shoppers,50000
CID-143773,9377-5195-4545-8395,Shoppers,5.00E+05
CID-134880,6261-8605-1035-2090,Travellers,50000
CID-871057,9382-8048-5432-9575,Shoppers,1.00E+05
CID-395599,7088-2245-8897-4509,Travellers,1.00E+05
CID-437620,1829-2478-2061-5183,Platinum,5.00E+05
CID-574632,1870-5508-3272-9387,Shoppers,2.00E+05
CID-74152,7989-4841-6949-5932,gold,2.00E+05
CID-896006,5470-8707-4097-3105,gold,1.00E+05
CID-888113,3776-6833-4744-5923,gold,1.00E+05
CID-844952,8172-2916-5332-5115,Platinum,1.00E+05
CID-613018,9637-2708-1165-6935,gold,2.00E+05
CID-17391,2464-8039-6775-3751,gold,50000
CID-755137,5602-3778-8557-6139,Travellers,2.00E+05
CID-232693,3228-1955-3180-4764,Travellers,1.00E+05
CID-205131,9700-8386-4832-2833,Shoppers,1.00E+05
CID-438997,3993-5250-6738-9439,Platinum,1.00E+05
CID-91299,7488-8366-6329-6913,Shoppers,2.00E+05
CID-589118,8667-5785-6632-7328,Travellers,50000
CID-732709,5979-2731-6777-1409,Shoppers,2.00E+05
CID-679382,7732-5905-3893-4751,gold,5.00E+05
CID-363501,9522-9918-1173-4464,Platinum,50000
CID-682553,3878-7180-3877-2053,gold,2.00E+05
CID-334636,6241-6314-8141-8502,Travellers,1.00E+05
CID-11596,8231-1415-4561-8860,Travellers,2.00E+05
CID-100762,7178-2656-4433-7495,Travellers,1.00E+05
CID-415164,2729-2949-1016-9308,gold,1.00E+05
CID-23548,8364-9030-4425-9165,Travellers,50000
CID-784944,2067-7205-1451-7863,Platinum,1.00E+05
CID-467713,9648-7999-8516-7048,Travellers,1.00E+05
CID-139867,4946-2643-3200-8340,Platinum,1.00E+05
CID-387020,2307-7183-7827-6366,gold,2.00E+05
CID-564284,9782-2346-2231-3747,Travellers,5.00E+05
CID-475560,4885-9189-6968-9126,Platinum,5.00E+05
CID-183214,1824-5986-8972-6358,Shoppers,1.00E+05
CID-90631,8397-5436-3566-6678,Travellers,2.00E+05
CID-453880,9929-6226-6959-3055,Travellers,50000
CID-177267,6408-9873-3174-5410,Travellers,2.00E+05
CID-60838,4581-7134-7577-3319,Platinum,5.00E+05
CID-477096,8190-5825-6453-4510,Shoppers,5.00E+05
CID-542616,3515-7389-5246-4647,Travellers,2.00E+05
CID-666503,8369-7279-8791-6529,Shoppers,2.00E+05
CID-324202,3637-5781-5613-6338,Shoppers,1.00E+05
CID-302214,1690-4093-8069-8583,Platinum,50000
CID-420061,8392-1873-5872-5037,Travellers,1.00E+05
CID-622405,4626-4296-1302-6496,Platinum,1.00E+05
CID-611943,4966-6257-6750-4045,Platinum,50000
CID-487116,4283-6913-1043-2325,Travellers,5.00E+05
CID-443978,1976-9772-4295-1624,gold,1.00E+05
CID-372885,4857-6285-3323-6410,Platinum,1.00E+05
CID-73516,9680-1554-5719-6691,Travellers,1.00E+05
CID-44547,2419-9429-5478-1189,Travellers,1.00E+05
CID-488742,5762-8773-3786-8318,gold,1.00E+05
CID-402993,4417-9828-6006-6659,Shoppers,1.00E+05
CID-404924,4901-3593-7405-4255,gold,2.00E+05
CID-848175,5942-7564-8101-1054,gold,50000
CID-766971,4264-4652-3055-4455,Platinum,50000
CID-228705,2200-6486-7474-3008,gold,5.00E+05
CID-553047,7880-5427-8659-3054,Platinum,1.00E+05
CID-280971,9619-1122-2972-5105,Travellers,5.00E+05
CID-752642,4310-3861-1328-4141,Shoppers,5.00E+05
CID-420770,4483-6398-1531-4966,gold,2.00E+05
CID-327938,6381-2215-5455-2329,Shoppers,1.00E+05
CID-621441,8977-3652-8664-7991,Platinum,1.00E+05
CID-772224,7035-6416-9741-8579,Platinum,5.00E+05
CID-40637,3438-8838-7636-3848,gold,1.00E+05
CID-669654,6764-7426-5960-7881,Travellers,50000
CID-88778,8610-9180-5003-4949,gold,5.00E+05
CID-879780,2595-7482-9593-7872,gold,1.00E+05
CID-890173,2036-5294-3363-8575,gold,50000
CID-808457,8097-6880-6381-8292,gold,1.00E+05
CID-38606,5422-5059-6884-4977,Shoppers,2.00E+05
CID-75255,5694-7629-6908-3009,Shoppers,5.00E+05
CID-452383,1729-4618-2885-5274,gold,1.00E+05
CID-698652,4630-2752-5177-1118,gold,1.00E+05
CID-710567,8222-5522-4006-9452,Shoppers,1.00E+05
CID-350080,2830-9587-5472-2616,Platinum,1.00E+05
CID-437408,7675-3936-4319-6276,Shoppers,50000
CID-258786,2108-3559-4812-8171,Shoppers,1.00E+05
CID-410599,2780-6579-4550-7536,Shoppers,2.00E+05
CID-6810,2117-1088-7079-4602,gold,50000
CID-518919,7313-3247-1133-4336,Shoppers,5.00E+05
CID-63082,9125-9323-8554-3152,Platinum,1.00E+05
CID-51381,6139-1792-9179-7486,Shoppers,5.00E+05
CID-284219,7324-3168-8083-7667,Travellers,1.00E+05
CID-471672,7795-9413-5365-6993,Shoppers,1.00E+05
CID-63200,7895-7695-7993-5132,gold,2.00E+05
CID-126005,2326-7926-4894-1729,Shoppers,50000
CID-593775,1500-2791-4995-4321,gold,2.00E+05
CID-453098,6227-5537-2104-8861,Shoppers,2.00E+05
CID-87403,7923-6551-2907-6869,Shoppers,1.00E+05
CID-366169,3873-1556-3982-7582,Travellers,1.00E+05
CID-320649,1488-8830-4054-4525,Shoppers,1.00E+05
CID-577955,8660-6967-6504-6850,gold,1.00E+05
CID-703761,8878-5273-4929-3934,Platinum,50000
CID-413410,3803-1639-3673-6288,Shoppers,1.00E+05
CID-272291,2701-6674-1841-8219,Platinum,50000
CID-490243,8688-2555-5506-9600,gold,2.00E+05
CID-31620,9058-6391-3057-9921,Shoppers,2.00E+05
CID-88226,9024-1082-6143-3818,Platinum,2.00E+05
CID-720790,8094-6324-4096-3706,Shoppers,5.00E+05
CID-710067,5431-1887-7014-2874,Travellers,2.00E+05
CID-372221,2021-1621-6420-3616,Travellers,5.00E+05
CID-508478,4012-5246-3806-4028,Travellers,50000
CID-21212,2713-1525-5207-8069,Platinum,50000
CID-872843,4651-3091-2376-6141,Platinum,1.00E+05
CID-117239,3178-7137-9639-1965,gold,2.00E+05
CID-544109,4045-6026-5827-6599,Travellers,5.00E+05
CID-380136,3360-8387-8147-5470,Travellers,2.00E+05
CID-355725,9566-4381-6289-4992,Platinum,1.00E+05
CID-528277,7114-6252-6231-2289,Shoppers,5.00E+05
CID-423744,3331-5470-2096-1146,gold,1.00E+05
CID-658459,2155-6724-3565-4851,Platinum,5.00E+05
CID-887079,1560-8340-4454-9104,Travellers,1.00E+05
CID-750666,8658-3167-7381-3669,Travellers,5.00E+05
CID-425151,7249-6599-3117-8704,gold,50000
CID-244054,7973-8027-1129-4026,Shoppers,1.00E+05
CID-800842,4380-4000-2210-1426,Travellers,1.00E+05
CID-656024,2893-7800-7284-6428,Shoppers,5.00E+05
CID-415986,1009-1908-8749-1259,Travellers,2.00E+05
CID-65811,6821-5528-6035-9757,gold,5.00E+05
CID-516714,5060-2170-4251-7974,Travellers,1.00E+05
CID-581864,9922-4231-5965-8902,gold,2.00E+05
